IDStations,Latitude,Longitude,Time,Altitude,AQ_pm10,AQ_pm25,AQ_co,AQ_nh3,AQ_nox,AQ_no2,AQ_so2,WE_temp_2m,WE_wind_speed_10m_mean,WE_wind_speed_10m_max,WE_mode_wind_direction_10m,WE_tot_precipitation,WE_precipitation_t,WE_surface_pressure,WE_solar_radiation,WE_rh_min,WE_rh_mean,WE_rh_max,WE_wind_speed_100m_mean,WE_wind_speed_100m_max,WE_mode_wind_direction_100m,WE_blh_layer_max,WE_blh_layer_min,EM_nh3_livestock_mm,EM_nh3_agr_soils,EM_nh3_agr_waste_burn,EM_nh3_sum,EM_nox_traffic,EM_nox_sum,EM_so2_sum,LI_pigs,LI_bovine,LA_hvi,LA_lvi,LA_land_use,LA_soil_use,log_pm25,Week
1264,46.1678524,9.87920992,2021-01-01,290,47.66666666666666,44.833333333333336,,,72.21285714285715,38.557142857142864,,-9.268,0.8732999999999999,1.397,SE,0.442961,5,82448.57142857143,1569971.4285714286,87.17,94.24428571428572,97.06,1.796428571428571,3.433,SE,148.2,10.84,,,,0.0,,0.0,0.0,0.527,5.317,3.9968571428571424,1.2335714285714288,112,,3.8250116284385163,53
1264,46.1678524,9.87920992,2021-01-08,290,36.8,32.2,,,81.818,47.798,,-14.710428571428569,1.2577142857142858,1.707,S,0.13196543,0,82947.14285714286,2422571.4285714286,81.17,91.16142857142856,96.87,2.2485714285714287,3.841,S,283.8,9.86,,,,0.0,,0.0,0.0,0.527,5.317,3.995142857142857,1.2315714285714283,112,,3.502549875922443,1
1264,46.1678524,9.87920992,2021-01-15,290,42.5,36.333333333333336,,,75.62428571428572,42.35285714285714,,-8.425285714285716,0.8576571428571428,1.402,S,0.23280097,5,83248.57142857143,2193428.571428572,85.54,93.04142857142858,99.51,2.001714285714286,3.656,S,269.7,10.13,,,,0.0,,0.0,0.0,0.527,5.344428571428573,3.994571428571429,1.2308571428571429,112,,3.619886582626985,2
1264,46.1678524,9.87920992,2021-01-22,290,31.428571428571427,29.428571428571427,,,76.51428571428572,40.85857142857143,,-8.561285714285715,1.0083714285714287,1.477,S,0.6294169999999999,5,82241.42857142857,2274285.714285714,79.04,92.46857142857142,99.46,2.358714285714285,4.259,S,1840.0,10.35,,,,0.0,,0.0,0.0,0.527,5.365000000000001,3.995571428571428,1.2322857142857144,112,,3.4153820166541116,3
1264,46.1678524,9.87920992,2021-01-29,290,31.33333333333333,27.33333333333333,,,71.14833333333333,31.52333333333333,,-3.348042857142857,0.7451999999999999,1.498,S,0.173109,5,82411.42857142857,2360428.571428572,87.65,95.34857142857145,99.48,1.473285714285714,3.313,S,365.1,9.527,,,,0.0,,0.0,0.0,0.527,5.365000000000001,3.996428571428571,1.2335714285714283,112,,3.3440389678222067,4
1264,46.1678524,9.87920992,2021-02-05,290,21.714285714285715,19.428571428571427,,,50.06714285714286,26.24714285714285,,-2.5404075999999995,0.6800285714285713,1.488,S,0.7328629999999999,5,82267.14285714286,2690200.0,81.17,95.09285714285714,99.37,1.6494,4.01,S,653.0,10.48,,,,0.0,,0.0,0.0,0.5612142857142858,5.365000000000001,3.997428571428572,1.234714285714286,112,,3.016934481204594,5
1264,46.1678524,9.87920992,2021-02-12,290,25.83333333333333,19.33333333333333,,,41.236666666666665,27.668333333333333,,-7.191142857142856,0.7050428571428572,1.425,S,0.0442726,0,83940.0,3922142.857142857,75.65,90.70428571428572,98.96,1.2010285714285711,2.613,NW,662.5,10.23,,,,0.0,,0.0,0.0,0.5749000000000001,5.365000000000001,4.0,1.2382857142857142,112,,3.0122615755052013,6
1264,46.1678524,9.87920992,2021-02-19,290,56.0,31.285714285714285,,,40.307142857142864,26.518571428571427,,-0.2733285714285716,0.7625428571428571,1.244,SE,0.001552906,0,84560.0,5212428.571428572,77.52,92.35285714285716,99.69,0.9571428571428572,2.05,S,424.1,10.22,,,,0.0,,0.0,0.0,0.5749000000000001,5.365000000000001,4.013428571428571,1.254857142857143,112,,3.4746248502169728,7
1264,46.1678524,9.87920992,2021-02-26,290,35.142857142857146,23.714285714285715,,,39.35285714285714,28.332857142857144,,-0.1204957142857143,0.7600142857142856,1.363,S,0.012462872,0,84438.57142857143,6498000.0,70.96,88.57000000000001,99.63,1.0353,3.155,SE,752.2,10.52,,,,0.0,,0.0,0.0,0.5749000000000001,5.385571428571429,4.0285714285714285,1.2737142857142858,112,,3.207381445442466,8
1264,46.1678524,9.87920992,2021-03-05,290,26.0,21.0,,,29.94142857142857,22.91857142857143,,-2.260828571428571,0.6395285714285714,1.192,S,0.0674058,5,83417.14285714286,6421571.428571428,82.44,93.85428571428572,99.25,1.3755714285714284,2.842,S,1271.0,10.2,,,,0.0,,0.0,0.0,0.5817428571428571,5.413000000000001,4.043571428571429,1.2922857142857145,112,,3.091042453358316,9
1264,46.1678524,9.87920992,2021-03-12,290,11.571428571428571,8.285714285714286,,,21.63428571428572,17.07,,-3.5385285714285715,0.9387714285714284,2.393,S,0.0925039999999999,0,82947.14285714286,7289142.857142857,81.1,91.10714285714286,99.15,2.385857142857143,4.954,S,2736.0,11.52,,,,0.0,,0.0,0.0,0.6227999999999999,5.413000000000001,4.059428571428572,1.312142857142857,112,,2.228477120840324,10
1264,46.1678524,9.87920992,2021-03-19,290,15.285714285714286,11.285714285714286,,,23.107142857142858,19.29714285714286,,-3.637571428571429,0.8832000000000001,1.58,S,0.01175288,0,83330.0,8218000.0,74.36,88.3157142857143,96.97,2.1067142857142858,3.99,S,1598.0,11.45,,,,0.0,,0.0,0.0,0.6227999999999999,5.413000000000001,4.081428571428572,1.337714285714286,112,,2.5084371471981943,11
1264,46.1678524,9.87920992,2021-03-26,290,27.571428571428573,21.428571428571427,,,24.37,19.625714285714285,,3.563357142857143,0.7193571428571428,1.231,S,0.0321069,0,84382.85714285714,9427714.285714284,73.57,90.55571428571427,99.35,1.2836142857142858,2.72,NW,1419.0,10.24,,,,0.0,,0.0,0.0,0.6227999999999999,5.413000000000001,4.104142857142857,1.3645714285714283,112,,3.1103356562929947,12
