IDStations,Latitude,Longitude,Time,Altitude,AQ_pm10,AQ_pm25,AQ_co,AQ_nh3,AQ_nox,AQ_no2,AQ_so2,WE_temp_2m,WE_wind_speed_10m_mean,WE_wind_speed_10m_max,WE_mode_wind_direction_10m,WE_tot_precipitation,WE_precipitation_t,WE_surface_pressure,WE_solar_radiation,WE_rh_min,WE_rh_mean,WE_rh_max,WE_wind_speed_100m_mean,WE_wind_speed_100m_max,WE_mode_wind_direction_100m,WE_blh_layer_max,WE_blh_layer_min,EM_nh3_livestock_mm,EM_nh3_agr_soils,EM_nh3_agr_waste_burn,EM_nh3_sum,EM_nox_traffic,EM_nox_sum,EM_so2_sum,LI_pigs,LI_bovine,LA_hvi,LA_lvi,LA_land_use,LA_soil_use,log_pm25,Week
1264,46.1678524,9.87920992,2020-01-03,290,47.285714285714285,39.57142857142857,,,118.13428571428572,39.19571428571429,,-5.302142857142857,1.1067285714285715,1.586,S,0.0012276126,0,84257.14285714286,2920428.571428572,76.99,89.28428571428572,95.17,2.066042857142857,4.923,S,239.7,9.986,0.1995428571428571,0.0845085714285714,0.0016878571428571,4.795999999999999,0.5227285714285713,10.089,2.6181,0.8623000000000001,4.79,3.996428571428571,1.233,112,,3.703064089105893,1
1264,46.1678524,9.87920992,2020-01-10,290,40.142857142857146,32.0,,,99.68857142857144,36.98142857142857,,-5.482285714285715,0.8399714285714285,1.414,S,0.0007999660000003,0,84112.85714285714,3391571.4285714286,73.32,88.53714285714285,94.54,1.2542714285714285,3.124,SE,164.1,9.785,0.2005142857142857,0.1128542857142857,0.0011553285714285,5.0544,0.5256000000000001,10.123,2.6631,0.8623000000000001,4.79,3.9945714285714287,1.231142857142857,112,,3.4965075614664802,2
1264,46.1678524,9.87920992,2020-01-17,290,36.42857142857143,29.428571428571427,,,94.61428571428571,34.69428571428572,,-6.861,0.9769571428571427,1.433,SE,0.1308474,0,84471.42857142857,3272142.8571428573,77.82,88.45857142857143,97.17,1.7755714285714284,3.589,S,521.4,10.29,0.2041285714285714,0.2405571428571428,0.0006335142857142,6.0024,0.5347714285714286,10.164,2.6957,0.8623000000000001,4.79,3.994857142857144,1.2312857142857143,112,,3.4153820166541116,3
1264,46.1678524,9.87920992,2020-01-24,290,41.71428571428572,32.42857142857143,,,80.55428571428571,33.63857142857143,,-4.286285714285714,0.7423857142857144,1.303,S,0.1471748,5,83335.71428571429,3281571.4285714286,82.8,92.5257142857143,99.26,1.3968285714285715,3.139,SE,1240.0,10.53,0.2097571428571429,0.4169,0.0002547857142857,7.252000000000001,0.5452714285714285,10.114,2.6828000000000003,0.8623000000000001,4.79,3.995857142857143,1.2325714285714289,112,,3.5094109663023882,4
1264,46.1678524,9.87920992,2020-01-31,290,26.571428571428573,20.857142857142858,,,56.675714285714285,26.518571428571427,,-2.840285714285714,1.069257142857143,2.768,S,0.1230209999999999,0,83512.85714285714,3435428.571428572,79.11,91.85,99.63,2.5597142857142856,6.421,S,2546.0,10.34,0.2166285714285714,0.5948428571428571,0.0001212,8.436,0.5527714285714286,9.878,2.5818,0.8623000000000001,4.79,3.996714285714286,1.233857142857143,112,,3.0845277723371223,5
1264,46.1678524,9.87920992,2020-02-07,290,29.0,24.142857142857142,,,51.92285714285715,30.140000000000004,,-4.100428571428571,0.7825428571428572,1.371,S,0.0362416000000006,0,83568.57142857143,4185857.142857143,80.91,90.26285714285714,99.21,1.7169714285714286,4.448,NW,1829.0,10.15,0.2240142857142857,0.7730714285714286,9.567571428571428e-05,9.497000000000002,0.5588571428571428,9.383,2.3212,0.8623000000000001,4.79,3.997714285714287,1.2352857142857143,112,,3.2245738459828384,6
1264,46.1678524,9.87920992,2020-02-14,290,24.0,19.714285714285715,,,42.05571428571428,25.77142857142857,,-2.323828571428572,0.7969428571428571,1.489,S,0.0388207,0,83912.85714285714,4600571.428571428,80.59,90.41,99.75,1.612242857142857,4.021,S,1893.0,10.42,0.2331714285714285,0.9869714285714284,8.335714285714286e-05,10.749999999999998,0.5651,8.751,1.9763,0.8623000000000001,4.79,4.002857142857144,1.2415714285714288,112,,3.030823593365261,7
1264,46.1678524,9.87920992,2020-02-21,290,33.333333333333336,27.666666666666668,,,39.63285714285714,24.95428571428572,,-0.5802657142857145,0.8609714285714285,1.923,S,0.04880938,0,83355.71428571429,5194000.0,79.81,90.58285714285716,99.65,2.116714285714285,4.738,S,2401.0,11.55,0.2462142857142857,1.2711428571428571,7.885285714285715e-05,12.537,0.5712428571428572,8.165000000000001,1.6836,0.8623000000000001,4.79,4.017,1.2594285714285716,112,,3.355735007585398,8
1264,46.1678524,9.87920992,2020-02-28,290,20.142857142857142,16.714285714285715,,,30.371428571428567,21.147142857142857,,-3.770285714285714,0.7913857142857144,1.723,SE,0.653936,5,82428.57142857143,3793000.0,76.97,92.71,99.59,1.9898571428571432,4.987,N,1786.0,9.923,0.2651142857142857,1.6445714285714284,7.731571428571428e-05,15.1,0.5771857142857142,7.803,1.5654,0.8623000000000001,4.79,4.031857142857144,1.2775714285714286,112,,2.8743714165497236,9
1264,46.1678524,9.87920992,2020-03-06,290,15.428571428571429,13.285714285714286,,,23.09857142857143,15.420000000000002,,-1.453285714285714,0.8769571428571429,1.49,S,0.0887675,0,83162.85714285714,5150000.0,79.61,91.8014285714286,99.32,1.8982857142857144,3.658,S,1332.0,10.01,0.2911142857142857,1.9821428571428568,7.515e-05,17.583000000000002,0.5836142857142858,7.721,1.5532,0.8623000000000001,4.79,4.046,1.2955714285714286,112,,2.659260036932778,10
1264,46.1678524,9.87920992,2020-03-13,290,15.714285714285714,14.0,,,16.1,9.734,,1.382442857142857,0.6307571428571428,1.17,S,0.2266516950000003,0,84002.85714285714,6510000.0,80.13,93.31857142857145,99.3,1.2302285714285712,2.487,NW,1050.0,10.13,0.3224714285714286,2.331,7.231428571428573e-05,20.263,0.5902857142857142,7.798,1.5487000000000002,0.9033571428571427,4.79,4.062428571428572,1.3155714285714286,112,,2.70805020110221,11
